id,latitude,longitude
1,-6.081689,145.391881
2,-5.207083,145.7887
3,-5.826789,144.295861
4,-6.569828,146.726242
5,-9.443383,147.22005
6,-3.583828,143.669186
7,61.160517,-45.425978
8,64.190922,-51.678064
9,67.016969,-50.689325
10,76.531203,-68.703161
11,65.659994,-18.072703
12,65.283333,-14.401389
13,64.295556,-15.227222
14,65.952328,-17.425978
15,66.058056,-23.135278
16,63.985,-22.605556
17,65.555833,-23.965
18,64.13,-21.940556
19,66.133333,-18.916667
20,63.424303,-20.278875
21,46.485001,-84.509445
22,50.056389,-97.0325
23,44.639721,-63.499444
24,51.391944,-56.083056
25,49.082222,-125.7725
26,68.534444,-89.808056
27,49.1325,-68.204444
28,48.330555,-70.996391
29,64.298889,-96.077778
30,49.950832,-125.270833
31,49.91,-99.951944
32,69.108055,-105.138333
33,49.052333,-123.870167
34,49.296389,-117.6325
35,47.007778,-65.449167
36,47.990833,-66.330278
37,67.816667,-115.143889
38,52.075001,-111.445278
39,49.152779,-121.93889
40,70.486111,-68.516667
41,64.193333,-83.359444
42,64.043056,-139.127778
43,61.371111,-139.040556
44,49.468056,-120.511389
45,49.210833,-57.391388
46,58.422222,-130.032222
47,51.100834,-100.0525
48,55.742333,-120.183
49,53.309723,-113.579722
50,61.094166,-94.070833
51,49.210278,-102.965833
52,53.578888,-116.465
53,79.994722,-85.814167
54,68.304167,-133.482778
55,63.75639,-68.555832
56,45.868889,-66.537222
57,48.746111,-69.097222
58,54.678055,-101.681667
59,61.180832,-113.689722
60,61.760153,-121.236525
61,44.225277,-76.596944
62,53.625278,-77.704167
63,48.775278,-64.478611
64,49.778332,-86.939445
65,47.424721,-61.778056
66,52.816666,-102.31139
67,49.831667,-92.744167
68,70.762778,-117.806111
69,68.635556,-95.849722
70,43.173611,-79.935
71,45.5175,-73.416944
72,60.839722,-115.782778
73,44.880833,-63.50861
74,48.773888,-91.638611
75,72.683334,-77.966667
76,45.294445,-73.281111
77,48.544167,-58.549999
78,50.702222,-120.444444
79,43.460833,-80.378611
80,54.805278,-66.805278
81,51.5175,-109.180833
82,43.862221,-79.37
83,47.82,-83.346667
84,54.125278,-108.522778
85,53.309166,-110.0725
86,82.517778,-62.280556
87,49.956112,-119.377778
88,63.616389,-135.868333
89,50.330278,-105.559167
90,56.653333,-111.221944
91,51.291111,-80.607778
92,46.272778,-75.990556
93,45.681944,-74.005278
94,50.19,-61.789167
95,45.521694,-75.563589
96,49.761667,-77.802778
97,67.570556,-139.839167
98,54.404999,-110.279444
99,58.621389,-117.164722
100,45.3225,-75.669167
101,53.214167,-105.672778
102,56.226944,-117.447222
103,49.903056,-98.273889
104,49.21611,-122.71
105,51.446388,-90.214167
106,49.836389,-64.288611
107,44.23,-78.363333
108,54.28611,-130.444722
109,58.767223,-111.117222
110,44.974722,-79.303333
111,46.791111,-71.393333
112,52.182222,-113.894444
113,42.275556,-82.955556
114,60.116389,-128.8225
115,49.788334,-94.363056
116,49.630278,-112.799722
117,46.112221,-64.678611
119,49.710833,-124.886667
120,50.431944,-104.665833
121,48.371944,-89.323889
122,55.179722,-118.885
123,51.264721,-102.461667
124,52.769167,-108.24361
125,48.936944,-54.568056
126,46.161388,-60.047779
127,53.026112,-122.510278
128,74.716944,-94.969444
129,47.764444,-69.584722
130,48.52,-72.265556
131,52.429722,-114.904167
132,62.81139,-92.115833
133,46.625,-80.798889
134,45.438611,-71.691389
135,45.316111,-65.890278
136,60.020278,-111.961944
137,72.982222,-84.613611
138,46.440556,-63.833611
139,71.993889,-125.2425
140,64.23,-76.526667
141,55.801111,-97.864166
142,44.118889,-77.528056
143,48.569721,-81.376667
